Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1961","1961","kg/ha","850.7","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1962","1962","kg/ha","889.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1963","1963","kg/ha","792.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1964","1964","kg/ha","729.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1965","1965","kg/ha","913.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1966","1966","kg/ha","826.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1967","1967","kg/ha","887.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1968","1968","kg/ha","1102.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1969","1969","kg/ha","1168.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1970","1970","kg/ha","1208.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1971","1971","kg/ha","1306.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1972","1972","kg/ha","1379.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1973","1973","kg/ha","1270.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1974","1974","kg/ha","1171.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1975","1975","kg/ha","1338.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1976","1976","kg/ha","1410.3","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1977","1977","kg/ha","1386.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1978","1978","kg/ha","1479.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1979","1979","kg/ha","1568.3","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1980","1980","kg/ha","1435.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1981","1981","kg/ha","1629.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1982","1982","kg/ha","1691.3","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1983","1983","kg/ha","1815.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1984","1984","kg/ha","1843.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1985","1985","kg/ha","1870.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1986","1986","kg/ha","2046","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1987","1987","kg/ha","1916.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1988","1988","kg/ha","2001.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1989","1989","kg/ha","2244.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1990","1990","kg/ha","2121.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1991","1991","kg/ha","2281.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1992","1992","kg/ha","2394","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1993","1993","kg/ha","2326.7","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1994","1994","kg/ha","2379.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1995","1995","kg/ha","2559","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1996","1996","kg/ha","2482.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1997","1997","kg/ha","2678.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1998","1998","kg/ha","2485.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1999","1999","kg/ha","2590.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2000","2000","kg/ha","2778.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2001","2001","kg/ha","2708.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2002","2002","kg/ha","2762.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2003","2003","kg/ha","2610","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2004","2004","kg/ha","2713.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2005","2005","kg/ha","2601.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2006","2006","kg/ha","2618.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2007","2007","kg/ha","2707.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2008","2008","kg/ha","2802.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2009","2009","kg/ha","2907.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2010","2010","kg/ha","2839.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2011","2011","kg/ha","2988.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2012","2012","kg/ha","3177.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2013","2013","kg/ha","3153.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2014","2014","kg/ha","3145.7","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2015","2015","kg/ha","2749.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2016","2016","kg/ha","3033.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2017","2017","kg/ha","3199.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2018","2018","kg/ha","3368.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2019","2019","kg/ha","3533.4","A","Official value",""
